127.0.0.1 - - [24/Apr/2015:22:52:46 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:52:47 -0400] "GET /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 500 3900
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 6473
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=21B99A751F738EDDD27F16C0ABC631AC?ln=primefaces&v=5.1 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.js.xhtml;jsessionid=21B99A751F738EDDD27F16C0ABC631AC?ln=primefaces&v=5.1 HTTP/1.1" 200 313177
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.css.xhtml;jsessionid=21B99A751F738EDDD27F16C0ABC631AC?ln=primefaces&v=5.1 HTTP/1.1" 200 58876
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=21B99A751F738EDDD27F16C0ABC631AC?ln=primefaces&v=5.1 HTTP/1.1" 200 236815
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:53:18 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:04 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:04 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:06 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:06 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:06 -0400] "POST /PSIEncontreEmManaus/cadastroAgenda.xhtml;jsessionid=21B99A751F738EDDD27F16C0ABC631AC HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 7484
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:09 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:10 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:10 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:15 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:16 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:16 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:17 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:17 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:17 -0400] "POST /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:24 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:25 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:25 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:25 -0400] "POST /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 4117
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:35 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:35 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:35 -0400] "POST /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:38 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:54:53 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:51 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:51 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:52 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:53 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:53 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:54 -0400] "POST /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/cadastroAgenda.xhtml HTTP/1.1" 200 7515
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2015:22:55:56 -0400] "GET /PSIEncontreEmManaus/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
